bezeichner;typ;kapitel;platzierung;szenario;quelle;lauf_hash;dateien;titel
abb_4_7;Abbildung;4;Hauptteil;S1;robustness.param_stability;0800e49d75cee860;abb_4_7_0800e49d75cee860.pdf, abb_4_7_0800e49d75cee860.svg, abb_4_7_0800e49d75cee860.png, abb_4_7_0800e49d75cee860_beschriftung.txt;Parameter-Stabilität über Lookback und Zielvolatilität
abb_4_8;Abbildung;4;Anhang;S1;robustness.cost_sensitivity;0800e49d75cee860;abb_4_8_0800e49d75cee860.pdf, abb_4_8_0800e49d75cee860.svg, abb_4_8_0800e49d75cee860.png, abb_4_8_0800e49d75cee860_beschriftung.txt;Sharpe Ratio in Abhängigkeit von den Transaktionskosten
abb_4_9;Abbildung;4;Anhang;S1;analytics.rolling;0800e49d75cee860;abb_4_9_0800e49d75cee860.pdf, abb_4_9_0800e49d75cee860.svg, abb_4_9_0800e49d75cee860.png, abb_4_9_0800e49d75cee860_beschriftung.txt;Rollierende Sharpe Ratio im Zeitverlauf
tab_4_1;Tabelle;4;Hauptteil;S1;backtest.metrics;0800e49d75cee860;tab_4_1_0800e49d75cee860.csv, tab_4_1_0800e49d75cee860.txt;Kennzahlen der Strategien (Hauptspezifikation)
tab_4_10;Tabelle;4;Anhang;S1;robustness.walk_forward;0800e49d75cee860;tab_4_10_0800e49d75cee860.csv, tab_4_10_0800e49d75cee860.txt;Walk-Forward: Folds und Out-of-Sample-Ergebnis
tab_4_11;Tabelle;4;Hauptteil;S1;robustness.subperiods;0800e49d75cee860;tab_4_11_0800e49d75cee860.csv, tab_4_11_0800e49d75cee860.txt;Ergebnisse nach Marktregime
tab_4_12;Tabelle;4;Anhang;S1;analytics.drawdowns;0800e49d75cee860;tab_4_12_0800e49d75cee860.csv, tab_4_12_0800e49d75cee860.txt;Die 5 tiefsten Drawdown-Episoden
tab_4_13;Tabelle;4;Hauptteil;S1;exposure_stats.by_target_vol;0800e49d75cee860;tab_4_13_0800e49d75cee860.csv, tab_4_13_0800e49d75cee860.txt;Investitionsgrad je Zielvolatilität
tab_4_2;Tabelle;4;Hauptteil;S1_bh0/S1/S1_bh25/S1_bh50;backtest.metrics[BuyHold];0800e49d75cee860;tab_4_2_0800e49d75cee860.csv, tab_4_2_0800e49d75cee860.txt;Teilfrage 1: Risiko-Rendite-Profil des STATISCHEN Portfolios je Krypto-Quote
tab_4_3;Tabelle;4;Anhang;S1;backtest.metrics (turnover*);0800e49d75cee860;tab_4_3_0800e49d75cee860.csv, tab_4_3_0800e49d75cee860.txt;Zerlegung des Turnovers
tab_4_4;Tabelle;4;Hauptteil;S1;hypotheses.H1/H2 + holm_adjusted;0800e49d75cee860;tab_4_4_0800e49d75cee860.csv, tab_4_4_0800e49d75cee860.txt;Konfirmatorische Hypothesentests H1 und H2
tab_4_5;Tabelle;4;Hauptteil;S1;hypotheses.sweep_bootstrap.slopes;0800e49d75cee860;tab_4_5_0800e49d75cee860.csv, tab_4_5_0800e49d75cee860.txt;H3: Steigung des Effekts über die Krypto-Quote (Datenebene)
tab_4_6;Tabelle;4;Anhang;S1;hypotheses.deflated_sharpe / probabilistic_sharpe;0800e49d75cee860;tab_4_6_0800e49d75cee860.csv, tab_4_6_0800e49d75cee860.txt;Deflated und Probabilistic Sharpe Ratio
tab_4_7;Tabelle;4;Hauptteil;S1/S2/S3;hypotheses (drei Records);0800e49d75cee860;tab_4_7_0800e49d75cee860.csv, tab_4_7_0800e49d75cee860.txt;Szenariovergleich der konfirmatorischen Befunde
tab_4_8;Tabelle;4;Hauptteil;S4_2018..2022;hypotheses (fünf Records);0800e49d75cee860;tab_4_8_0800e49d75cee860.csv, tab_4_8_0800e49d75cee860.txt;Sensitivität gegenüber dem Startjahr
tab_4_9;Tabelle;4;Anhang;S1 / S1_rf3;backtest.metrics + hypotheses.H1;0800e49d75cee860;tab_4_9_0800e49d75cee860.csv, tab_4_9_0800e49d75cee860.txt;Sensitivität gegenüber der Zinsannahme
tab_a_1;Tabelle;Anhang;Anhang;alle;hashes + git + environment;0800e49d75cee860;tab_a_1_0800e49d75cee860.csv, tab_a_1_0800e49d75cee860.txt;Reproduktionsnachweis je Record
